yManuf,yHlth,Intercept,Mkt.RF,SMB,HML,RMW,CMA,MOM
0.056182502,0.078181582,1,0.046194698,-0.040247056,0.00394304,-0.007394376,-0.001137339,-0.00575728
-0.052056929,-0.03580232,1,-0.072468274,-0.036550899,-0.014300635,0.024972085,0.015663228,0.053351074
0.123383982,0.063532175,1,0.107843934,0.026194121,0.005590299,0.013817046,-0.018355182,-0.034044559
-0.030397438,-0.014701529,1,-0.040060587,-0.021389105,-0.018100364,0.002113784,0.008823963,0.021547253
-0.046328441,-0.027219616,1,-0.0645778,-0.030194264,-0.031172727,0.031445413,0.010736379,0.071140121
-0.052460474,-0.083608046,1,-0.087495733,-0.012049556,-0.094942113,0.056633859,0.031231932,0.127858745
0.102707907,0.055168902,1,0.126121411,0.019818062,0.092567727,-0.034357135,-0.022599275,-0.160417548
-0.073526999,0.006375377,1,-0.02125477,0.001715393,0.033783348,-0.00832076,0.01161097,0.009056982
0.04641187,0.003140075,1,0.006509441,0.007024462,-0.035921146,0.000836208,-0.020988628,-0.05271515
-0.01196295,0.037041266,1,0.013594555,0.019165731,0.00241954,-0.000373162,-0.006982977,-0.029801267
-0.00896442,-0.0067027,1,-0.016315064,-0.000726992,-0.0096369,0.007217485,0.00448547,0.035224032
0.081556653,0.044781994,1,0.068512462,-0.004365704,0.013609584,-0.004733301,-0.002997869,-0.063162977
-0.03262929,-0.03247298,1,-0.040983837,0.004190209,-0.020810544,-0.00733079,0.001863251,-0.071282164
-0.033405341,-0.000751996,1,-0.042459355,0.014419288,-0.060459924,0.011508611,0.012336882,0.100007451
-0.012897901,-0.006221303,1,-0.025258586,-0.025681835,-0.022697192,0.003835792,-0.014310688,0.000649539
-0.010913274,-0.000396812,1,-0.005864238,0.000949017,-0.012033687,-0.003432702,-0.014231943,-0.004769423
0.048584392,0.040792695,1,0.053971963,0.00702272,-0.013655727,0.002267816,-0.00383258,-0.037444476
-0.052312787,-0.020899888,1,-0.044069555,0.000735632,-0.033808984,-0.00053892,-0.013137637,0.015681359
-0.080195086,-0.030769315,1,-0.068648891,-0.011608743,-0.059033186,0.024825556,0.00207821,0.0891097
-0.045740271,-0.097268275,1,-0.042060812,-0.008547727,0.031410638,-0.007954015,0.00337672,-0.012177315
-0.071653844,-0.028019807,1,-0.070299293,-0.022478187,-0.0715444,0.002158027,-0.001080347,0.079792748
0.072726177,0.088563343,1,0.106976584,0.007410768,0.084143021,-0.028132537,-0.011863387,-0.123477807
0.031007391,-0.014263082,1,0.017657298,0.007765582,0.023743249,0.003393705,-0.000518978,-0.050930658
0.055987312,0.032294231,1,0.06410017,0.006547266,0.040812751,-0.016428529,-0.000820873,-0.090921058
0.036995306,-0.019280004,1,0.034846417,0.026512426,0.004385459,0.008329911,-0.00840794,-0.052820306
0.004439704,0.005716085,1,0.01758253,0.009316307,0.03652216,0.003992312,0.000669502,-0.073273154
0.007568103,0.016789781,1,0.015693139,0.014952681,0.021071371,-0.005045351,0.007502811,-0.080348833
0.006674377,-0.030905261,1,-0.004482367,0.01067185,-0.019644343,0.011795964,-0.001524362,-0.034479759
0.028407357,0.012417513,1,0.016491089,0.002650735,-0.013549453,-0.006434995,-0.002499039,-0.037043892
0.061880338,0.046418342,1,0.056472755,-0.010606711,0.076794077,-0.003443238,-0.015505915,-0.135925673
-0.060200225,-0.007730125,1,-0.050818173,-0.01418741,-0.056223551,0.003080695,0.006289245,0.094007093
0.013879692,0.000954403,1,0.007190386,-0.001244077,-0.006619996,-0.010162986,-0.001812204,-0.034963084
